Genre,Reports,Age,Gpa,Year,Count,Gender,report_length,Priority,Category,Synthetic,Created_Date
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,27.0,2.18,2.0,1.0,M,160.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,23.0,3.11,2.0,1.0,F,138.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,20.0,3.68,2.0,1.0,F,198.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,20.0,1.3,2.0,1.0,F,165.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,26.0,2.5,2.0,1.0,F,140.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,22.0,2.79,2.0,1.0,F,148.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,24.0,3.5,2.0,1.0,F,154.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,20.0,1.11,2.0,1.0,M,153.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,24.0,3.26,2.0,1.0,F,132.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,25.0,0.86,2.0,1.0,F,187.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,16.0,3.3,2.0,1.0,F,173.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,26.0,3.34,2.0,1.0,F,161.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,21.0,1.0,2.0,1.0,M,129.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,27.0,3.15,2.0,1.0,F,135.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,19.0,2.17,2.0,1.0,M,156.0,MEDIUM,Original,False,2026-03-26
